series_id,series_name,trait,card_id,card_name,cost,rarity
"arborian","아르보리아","전체공격","unit_v8_lunar_08","베르드 가디언","4","rare"
"arborian","아르보리아","전체공격","unit_v8_lunar_16","크라운 가디언","4","rare"
"arborian","아르보리아","전체공격","unit_v8_verdant_19","오크 드루이드","7","legendary"
"tempest_drive","템페스트 드라이브","처형","unit_v8_storm_16","스톰 랜서","6","epic"
"tempest_drive","템페스트 드라이브","처형","unit_v8_storm_19","레일 랜서","5","epic"
"tempest_drive","템페스트 드라이브","처형","unit_v8_neutral_02","볼트 라이더","6","epic"
"tempest_drive","템페스트 드라이브","처형","unit_v8_neutral_20","스파크 라이더","4","rare"
"tempest_drive","템페스트 드라이브","전체공격","unit_v8_storm_10","볼트 랜서","4","rare"
"tempest_drive","템페스트 드라이브","전체공격","unit_v8_storm_13","제타 랜서","3","rare"
"tempest_drive","템페스트 드라이브","전체공격","unit_v8_neutral_08","스톰 라이더","3","common"
"tempest_drive","템페스트 드라이브","전체공격","unit_v8_neutral_14","블리츠 라이더","3","common"
"abyss_reaper","어비스 리퍼","처형","unit_v8_storm_08","베놈 리퍼","6","epic"
"abyss_reaper","어비스 리퍼","처형","unit_v8_storm_11","셰이드 리퍼","5","epic"
"abyss_reaper","어비스 리퍼","처형","unit_v8_void_02","다크 리퍼","6","epic"
"abyss_reaper","어비스 리퍼","처형","unit_v8_void_20","셰이드 하운드","4","rare"
"abyss_reaper","어비스 리퍼","전체공격","unit_v8_storm_02","블랙 리퍼","4","rare"
"abyss_reaper","어비스 리퍼","전체공격","unit_v8_storm_05","헝거 리퍼","3","rare"
"abyss_reaper","어비스 리퍼","전체공격","unit_v8_void_05","헬 리퍼","5","epic"
"abyss_reaper","어비스 리퍼","전체공격","v32y_abyss_unit_01","소울 헌터","3","rare"
"primal_guardian","프라이멀 가디언","처형","unit_v8_verdant_02","타이드 비스트","4","rare"
"primal_guardian","프라이멀 가디언","처형","unit_v8_verdant_08","혼 비스트","6","epic"
"primal_guardian","프라이멀 가디언","처형","unit_v8_verdant_10","루인 워든","4","rare"
"primal_guardian","프라이멀 가디언","처형","unit_v8_verdant_16","스톤 워든","6","epic"
"primal_guardian","프라이멀 가디언","전체공격","unit_v8_verdant_04","테라 비스트","3","common"
"primal_guardian","프라이멀 가디언","전체공격","unit_v8_verdant_06","팽 비스트","3","common"
"primal_guardian","프라이멀 가디언","전체공격","unit_v8_verdant_18","스카이 워든","4","rare"
"primal_guardian","프라이멀 가디언","전체공격","v32y_primal_unit_01","아이언혼","4","rare"
"chronorium","크로노리움","처형","v26_chronorium_unit_09","틱 가디언","4","rare"
"chronorium","크로노리움","처형","v26_chronorium_unit_15","리버스 나이트","5","rare"
"chronorium","크로노리움","처형","v26_chronorium_unit_19","에이지 브레이커","4","epic"
"chronorium","크로노리움","처형","v26_chronorium_unit_20","이터널 캡틴","5","epic"
"chronorium","크로노리움","전체공격","v26_chronorium_unit_04","리와인드 블레이드","4","common"
"chronorium","크로노리움","전체공격","v26_chronorium_unit_05","스냅 러너","4","common"
"chronorium","크로노리움","전체공격","v26_chronorium_unit_10","크로노 샷","5","rare"
"chronorium","크로노리움","전체공격","v26_chronorium_unit_22","제로월드 아비터","6","legendary"
"arcana_protocol","아르카나 프로토콜","처형","v26_arcana_protocol_unit_09","펜타클 메이지","4","rare"
"arcana_protocol","아르카나 프로토콜","처형","v26_arcana_protocol_unit_15","포뮬러 나이트","5","rare"
"arcana_protocol","아르카나 프로토콜","처형","v26_arcana_protocol_unit_19","시질 마스터","4","epic"
"arcana_protocol","아르카나 프로토콜","처형","v26_arcana_protocol_unit_20","코덱스 소버린","5","epic"
"arcana_protocol","아르카나 프로토콜","전체공격","v26_arcana_protocol_unit_04","아스트랄 리브라","4","common"
"arcana_protocol","아르카나 프로토콜","전체공격","v26_arcana_protocol_unit_05","오브 위스퍼러","4","common"
"arcana_protocol","아르카나 프로토콜","전체공격","v26_arcana_protocol_unit_22","프로토콜 오메가","6","legendary"
"beastforge","비스트포지","처형","v26_beastforge_unit_09","바이트 랜서","4","rare"
"beastforge","비스트포지","처형","v26_beastforge_unit_15","크롬 와이번","5","rare"
"beastforge","비스트포지","처형","v26_beastforge_unit_19","알파 프레데터","4","epic"
"beastforge","비스트포지","처형","v26_beastforge_unit_20","타이탄 팽","5","epic"
"beastforge","비스트포지","전체공격","v26_beastforge_unit_04","아이언 울프","4","common"
"beastforge","비스트포지","전체공격","v26_beastforge_unit_05","브론즈 라이노","4","common"
"beastforge","비스트포지","전체공격","v26_beastforge_unit_10","와일드 메카닉","5","rare"
"beastforge","비스트포지","전체공격","v26_beastforge_unit_22","포지 레비아탄","6","legendary"
"phantom_carnival","팬텀 카니발","처형","v26_phantom_carnival_unit_09","나이트 퍼펫","4","rare"
"phantom_carnival","팬텀 카니발","처형","v26_phantom_carnival_unit_15","문라이트 일루저니스트","5","rare"
"phantom_carnival","팬텀 카니발","처형","v26_phantom_carnival_unit_19","라스트 앙코르","4","epic"
"phantom_carnival","팬텀 카니발","처형","v26_phantom_carnival_unit_20","카니발 크라운","5","epic"
"phantom_carnival","팬텀 카니발","전체공격","v26_phantom_carnival_unit_04","섀도 저글러","4","common"
"phantom_carnival","팬텀 카니발","전체공격","v26_phantom_carnival_unit_05","루나 마임","4","common"
"phantom_carnival","팬텀 카니발","전체공격","v26_phantom_carnival_unit_10","스펙터 링마스터","5","rare"
"phantom_carnival","팬텀 카니발","전체공격","v26_phantom_carnival_unit_22","제로 스테이지 마스터","6","legendary"
"astral_armada","아스트라 아르마다","처형","v26_astral_armada_unit_15","스타실드 오퍼레이터","5","rare"
"astral_armada","아스트라 아르마다","처형","v26_astral_armada_unit_19","오로라 플래그십","4","epic"
"astral_armada","아스트라 아르마다","처형","v26_astral_armada_unit_20","갤럭시 커맨더","5","epic"
"astral_armada","아스트라 아르마다","전체공격","v26_astral_armada_unit_04","스타보드 마린","4","common"
"astral_armada","아스트라 아르마다","전체공격","v26_astral_armada_unit_09","메테오 랜서","4","rare"
"astral_armada","아스트라 아르마다","전체공격","v26_astral_armada_unit_22","세레스티얼 타이탄","6","legendary"
"astral_armada","아스트라 아르마다","전체공격","v32y_astral_unit_01","노바 프리깃","4","rare"
