id,name,kind,rarity,element,cost,series,series_id,summon_mode
fusion_tempest_colossus,템페스트 드라이브 크로스 - 썬더 콜로서스,fusion,epic,storm,2,천뢰기동 템페스트 드라이브,tempest_drive,fusion
fusion_worldroot_hydra,아르보리아 크로스 - 에버그린 히드라,fusion,epic,verdant,2,세계수권속 아르보리아,arborian,fusion
evolution_ember_phoenix,루미나이츠 어센드 - 피닉스 브레이버,evolution,epic,solar,2,성휘전대 루미나이츠,luminaknights,evolution
evolution_iron_sovereign,카이저기어 어센드 - 아이언 소버린,evolution,epic,neutral,2,황제기갑 카이저기어,kaisergear,evolution
evolution_rift_alpha,이클립시온 어센드 - 리프트 알파,evolution,legendary,void,3,일식공명 이클립시온,eclipsion,evolution
trap_resonance_break,공명 붕괴진,trap,epic,neutral,3,,,normal
trap_ancestral_denial,계승 거부,trap,rare,lunar,2,,,normal
unit_v8_solar_01,루미나이츠 글로리 세이버,unit,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_02,카이저기어 발칸 프레임,unit,common,solar,3,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_03,이클립시온 블랙 레조너,unit,rare,solar,3,일식공명 이클립시온,eclipsion,normal
unit_v8_solar_04,루미나이츠 브레이브 세이버,unit,common,solar,3,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_05,카이저기어 시그마 프레임,unit,rare,solar,3,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_06,이클립시온 크로노 레조너,unit,epic,solar,6,일식공명 이클립시온,eclipsion,rift
unit_v8_solar_07,루미나이츠 크라운 세이버,unit,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_08,카이저기어 오메가 프레임,unit,rare,solar,4,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_09,이클립시온 아스트라 레조너,unit,legendary,solar,7,일식공명 이클립시온,eclipsion,rift
unit_v8_solar_10,루미나이츠 솔 랜서,unit,common,solar,3,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_11,카이저기어 임페리얼 프레임,unit,rare,solar,3,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_12,이클립시온 베일 레조너,unit,common,solar,3,일식공명 이클립시온,eclipsion,normal
unit_v8_solar_13,루미나이츠 레이 랜서,unit,common,solar,2,성휘전대 루미나이츠,luminaknights,rift
unit_v8_solar_14,카이저기어 알파 드라이버,unit,epic,solar,6,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_15,이클립시온 리프트 레조너,unit,common,solar,2,일식공명 이클립시온,eclipsion,normal
unit_v8_solar_16,루미나이츠 크림슨 랜서,unit,rare,solar,4,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_17,카이저기어 아이언 드라이버,unit,epic,solar,5,황제기갑 카이저기어,kaisergear,normal
unit_v8_solar_18,이클립시온 루인 레조너,unit,common,solar,3,일식공명 이클립시온,eclipsion,normal
unit_v8_solar_19,루미나이츠 아크 랜서,unit,rare,solar,3,성휘전대 루미나이츠,luminaknights,normal
unit_v8_solar_20,카이저기어 제로 드라이버,unit,common,solar,3,황제기갑 카이저기어,kaisergear,rift
unit_v8_lunar_01,녹턴 미라주 루나 팬텀,unit,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_02,아르보리아 브룸 가디언,unit,rare,lunar,4,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_03,녹턴 미라주 베일 팬텀,unit,epic,lunar,5,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_04,아르보리아 쏜 가디언,unit,common,lunar,3,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_05,녹턴 미라주 드림 팬텀,unit,rare,lunar,3,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_06,아르보리아 루트 가디언,unit,legendary,lunar,8,세계수권속 아르보리아,arborian,rift
unit_v8_lunar_07,녹턴 미라주 미러 팬텀,unit,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_08,아르보리아 베르드 가디언,unit,rare,lunar,4,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_09,녹턴 미라주 실버 팬텀,unit,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_10,아르보리아 세이지 가디언,unit,common,lunar,3,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_11,녹턴 미라주 크레센트 팬텀,unit,epic,lunar,5,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_12,아르보리아 가이아 가디언,unit,common,lunar,3,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_13,녹턴 미라주 나이트 팬텀,unit,rare,lunar,3,월영환상 녹턴 미라주,nocturne,rift
unit_v8_lunar_14,아르보리아 플로라 가디언,unit,epic,lunar,6,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_15,녹턴 미라주 에코 팬텀,unit,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_16,아르보리아 크라운 가디언,unit,rare,lunar,4,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_17,녹턴 미라주 미스트 팬텀,unit,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_18,아르보리아 시드 가디언,unit,common,lunar,3,세계수권속 아르보리아,arborian,normal
unit_v8_lunar_19,녹턴 미라주 페이즈 팬텀,unit,epic,lunar,5,월영환상 녹턴 미라주,nocturne,normal
unit_v8_lunar_20,아르보리아 오크 가디언,unit,common,lunar,3,세계수권속 아르보리아,arborian,rift
unit_v8_storm_01,템페스트 드라이브 제노 라이더,unit,common,storm,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_02,어비스 리퍼 블랙 리퍼,unit,rare,storm,4,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_03,프라이멀 가디언 루인 비스트,unit,legendary,storm,7,원초수호 프라이멀 가디언,primal_guardian,rift
unit_v8_storm_04,템페스트 드라이브 라이트닝 라이더,unit,common,storm,3,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_05,어비스 리퍼 헝거 리퍼,unit,rare,storm,3,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_06,프라이멀 가디언 토템 비스트,unit,common,storm,3,원초수호 프라이멀 가디언,primal_guardian,rift
unit_v8_storm_07,템페스트 드라이브 터보 라이더,unit,common,storm,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_08,어비스 리퍼 베놈 리퍼,unit,epic,storm,6,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_09,프라이멀 가디언 와일드 비스트,unit,common,storm,2,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_storm_10,템페스트 드라이브 볼트 랜서,unit,rare,storm,4,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_11,어비스 리퍼 셰이드 리퍼,unit,epic,storm,5,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_12,프라이멀 가디언 스톤 비스트,unit,common,storm,3,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_storm_13,템페스트 드라이브 제타 랜서,unit,rare,storm,3,천뢰기동 템페스트 드라이브,tempest_drive,rift
unit_v8_storm_14,어비스 리퍼 그레이브 리퍼,unit,common,storm,3,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_15,프라이멀 가디언 스카이 비스트,unit,common,storm,2,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_storm_16,템페스트 드라이브 스톰 랜서,unit,epic,storm,6,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_17,어비스 리퍼 네더 리퍼,unit,common,storm,2,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_storm_18,프라이멀 가디언 플레임 비스트,unit,rare,storm,4,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_storm_19,템페스트 드라이브 레일 랜서,unit,epic,storm,5,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_storm_20,어비스 리퍼 블러드 리퍼,unit,common,storm,3,심연포식 어비스 리퍼,abyss_reaper,rift
unit_v8_verdant_01,아르보리아 브룸 드루이드,unit,common,verdant,2,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_02,프라이멀 가디언 타이드 비스트,unit,rare,verdant,4,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_03,아르보리아 쏜 드루이드,unit,common,verdant,2,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_04,프라이멀 가디언 테라 비스트,unit,common,verdant,3,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_05,아르보리아 루트 드루이드,unit,epic,verdant,5,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_06,프라이멀 가디언 팽 비스트,unit,common,verdant,3,원초수호 프라이멀 가디언,primal_guardian,rift
unit_v8_verdant_07,아르보리아 베르드 드루이드,unit,rare,verdant,3,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_08,프라이멀 가디언 혼 비스트,unit,epic,verdant,6,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_09,아르보리아 세이지 드루이드,unit,common,verdant,2,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_10,프라이멀 가디언 루인 워든,unit,rare,verdant,4,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_11,아르보리아 가이아 드루이드,unit,common,verdant,2,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_12,프라이멀 가디언 토템 워든,unit,common,verdant,3,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_13,아르보리아 플로라 드루이드,unit,epic,verdant,5,세계수권속 아르보리아,arborian,rift
unit_v8_verdant_14,프라이멀 가디언 와일드 워든,unit,common,verdant,3,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_15,아르보리아 크라운 드루이드,unit,rare,verdant,3,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_16,프라이멀 가디언 스톤 워든,unit,epic,verdant,6,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_17,아르보리아 시드 드루이드,unit,common,verdant,2,세계수권속 아르보리아,arborian,normal
unit_v8_verdant_18,프라이멀 가디언 스카이 워든,unit,rare,verdant,4,원초수호 프라이멀 가디언,primal_guardian,normal
unit_v8_verdant_19,아르보리아 오크 드루이드,unit,legendary,verdant,7,세계수권속 아르보리아,arborian,rift
unit_v8_verdant_20,프라이멀 가디언 플레임 워든,unit,common,verdant,3,원초수호 프라이멀 가디언,primal_guardian,rift
unit_v8_void_01,녹턴 미라주 루나 댄서,unit,common,void,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_02,어비스 리퍼 다크 리퍼,unit,epic,void,6,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_03,이클립시온 네메시스 레조너,unit,common,void,2,일식공명 이클립시온,eclipsion,normal
unit_v8_void_04,녹턴 미라주 베일 댄서,unit,rare,void,4,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_05,어비스 리퍼 헬 리퍼,unit,epic,void,5,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_06,이클립시온 섀도 레조너,unit,common,void,3,일식공명 이클립시온,eclipsion,rift
unit_v8_void_07,녹턴 미라주 드림 댄서,unit,rare,void,3,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_08,어비스 리퍼 보이드 리퍼,unit,common,void,3,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_09,이클립시온 엔드 레조너,unit,common,void,2,일식공명 이클립시온,eclipsion,normal
unit_v8_void_10,녹턴 미라주 미러 댄서,unit,epic,void,6,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_11,어비스 리퍼 블랙 하운드,unit,common,void,2,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_12,이클립시온 오메가 레조너,unit,rare,void,4,일식공명 이클립시온,eclipsion,normal
unit_v8_void_13,녹턴 미라주 실버 댄서,unit,epic,void,5,월영환상 녹턴 미라주,nocturne,rift
unit_v8_void_14,어비스 리퍼 헝거 하운드,unit,common,void,3,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_15,이클립시온 블랙 키메라,unit,rare,void,3,일식공명 이클립시온,eclipsion,normal
unit_v8_void_16,녹턴 미라주 크레센트 댄서,unit,legendary,void,8,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_17,어비스 리퍼 베놈 하운드,unit,common,void,2,심연포식 어비스 리퍼,abyss_reaper,normal
unit_v8_void_18,이클립시온 크로노 키메라,unit,rare,void,4,일식공명 이클립시온,eclipsion,normal
unit_v8_void_19,녹턴 미라주 나이트 댄서,unit,common,void,2,월영환상 녹턴 미라주,nocturne,normal
unit_v8_void_20,어비스 리퍼 셰이드 하운드,unit,rare,void,4,심연포식 어비스 리퍼,abyss_reaper,rift
unit_v8_neutral_01,루미나이츠 솔 세이버,unit,rare,neutral,3,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_02,템페스트 드라이브 볼트 라이더,unit,epic,neutral,6,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_03,카이저기어 알파 프레임,unit,common,neutral,2,황제기갑 카이저기어,kaisergear,normal
unit_v8_neutral_04,루미나이츠 레이 세이버,unit,rare,neutral,4,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_05,템페스트 드라이브 제타 라이더,unit,common,neutral,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_06,카이저기어 아이언 프레임,unit,common,neutral,3,황제기갑 카이저기어,kaisergear,rift
unit_v8_neutral_07,루미나이츠 크림슨 세이버,unit,epic,neutral,5,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_08,템페스트 드라이브 스톰 라이더,unit,common,neutral,3,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_09,카이저기어 제로 프레임,unit,rare,neutral,3,황제기갑 카이저기어,kaisergear,normal
unit_v8_neutral_10,루미나이츠 아크 세이버,unit,epic,neutral,6,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_11,템페스트 드라이브 레일 라이더,unit,common,neutral,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_12,카이저기어 블리츠 프레임,unit,rare,neutral,4,황제기갑 카이저기어,kaisergear,normal
unit_v8_neutral_13,루미나이츠 노바 세이버,unit,legendary,neutral,7,성휘전대 루미나이츠,luminaknights,rift
unit_v8_neutral_14,템페스트 드라이브 블리츠 라이더,unit,common,neutral,3,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_15,카이저기어 코어 프레임,unit,rare,neutral,3,황제기갑 카이저기어,kaisergear,normal
unit_v8_neutral_16,루미나이츠 세라프 세이버,unit,common,neutral,3,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_17,템페스트 드라이브 썬더 라이더,unit,rare,neutral,3,천뢰기동 템페스트 드라이브,tempest_drive,normal
unit_v8_neutral_18,카이저기어 타이탄 프레임,unit,epic,neutral,6,황제기갑 카이저기어,kaisergear,normal
unit_v8_neutral_19,루미나이츠 오로라 세이버,unit,common,neutral,2,성휘전대 루미나이츠,luminaknights,normal
unit_v8_neutral_20,템페스트 드라이브 스파크 라이더,unit,rare,neutral,4,천뢰기동 템페스트 드라이브,tempest_drive,rift
spell_v8_solar_01,루미나이츠 오더 - 히어로즈 링크,spell,epic,solar,4,성휘전대 루미나이츠,luminaknights,normal
spell_v8_solar_02,카이저기어 오더 - 임페리얼 코드,spell,common,solar,2,황제기갑 카이저기어,kaisergear,normal
spell_v8_solar_03,이클립시온 오더 - 리프트 콜,spell,rare,solar,2,일식공명 이클립시온,eclipsion,normal
spell_v8_solar_04,루미나이츠 오더 - 세컨드 선,spell,legendary,solar,7,성휘전대 루미나이츠,luminaknights,normal
spell_v8_solar_05,카이저기어 오더 - 메인 코어 링크,spell,common,solar,1,황제기갑 카이저기어,kaisergear,normal
spell_v8_solar_06,이클립시온 오더 - 블랙 레조넌스,spell,rare,solar,3,일식공명 이클립시온,eclipsion,normal
spell_v8_solar_07,루미나이츠 오더 - 크라운 차지,spell,common,solar,1,성휘전대 루미나이츠,luminaknights,normal
spell_v8_solar_08,카이저기어 오더 - 포지 리부트,spell,rare,solar,3,황제기갑 카이저기어,kaisergear,normal
spell_v8_solar_09,이클립시온 오더 - 제로 호라이즌,spell,epic,solar,4,일식공명 이클립시온,eclipsion,normal
spell_v8_solar_10,루미나이츠 오더 - 샤이닝 오더,spell,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
spell_v8_lunar_01,아르보리아 오더 - 월드루트 콜,spell,legendary,lunar,6,세계수권속 아르보리아,arborian,normal
spell_v8_lunar_02,녹턴 미라주 오더 - 문라이트 리콜,spell,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
spell_v8_lunar_03,아르보리아 오더 - 생장 폭주,spell,rare,lunar,2,세계수권속 아르보리아,arborian,normal
spell_v8_lunar_04,녹턴 미라주 오더 - 드림 셔플,spell,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
spell_v8_lunar_05,아르보리아 오더 - 에버그린 링크,spell,rare,lunar,2,세계수권속 아르보리아,arborian,normal
spell_v8_lunar_06,녹턴 미라주 오더 - 미러 스텝,spell,epic,lunar,5,월영환상 녹턴 미라주,nocturne,normal
spell_v8_lunar_07,아르보리아 오더 - 가이아 리커버리,spell,common,lunar,1,세계수권속 아르보리아,arborian,normal
spell_v8_lunar_08,녹턴 미라주 오더 - 녹턴 드로우,spell,rare,lunar,3,월영환상 녹턴 미라주,nocturne,normal
spell_v8_lunar_09,아르보리아 오더 - 브룸 사이클,spell,legendary,lunar,6,세계수권속 아르보리아,arborian,normal
spell_v8_lunar_10,녹턴 미라주 오더 - 크레센트 위시,spell,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
spell_v8_storm_01,템페스트 드라이브 오더 - 썬더 콜,spell,common,storm,1,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_storm_02,어비스 리퍼 오더 - 그레이브 콜,spell,rare,storm,3,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_storm_03,프라이멀 가디언 오더 - 토템 콜,spell,epic,storm,4,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_storm_04,템페스트 드라이브 오더 - 부스트 시프트,spell,common,storm,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_storm_05,어비스 리퍼 오더 - 블랙 피드,spell,rare,storm,2,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_storm_06,프라이멀 가디언 오더 - 야성 해방,spell,legendary,storm,7,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_storm_07,템페스트 드라이브 오더 - 레일 점프,spell,common,storm,1,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_storm_08,어비스 리퍼 오더 - 네더 체인,spell,rare,storm,3,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_storm_09,프라이멀 가디언 오더 - 대지의 맹세,spell,common,storm,1,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_storm_10,템페스트 드라이브 오더 - 터보 링크,spell,common,storm,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_verdant_01,프라이멀 가디언 오더 - 프라이멀 링크,spell,common,verdant,1,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_verdant_02,아르보리아 오더 - 시드 리턴,spell,rare,verdant,3,세계수권속 아르보리아,arborian,normal
spell_v8_verdant_03,프라이멀 가디언 오더 - 비스트 차지,spell,legendary,verdant,6,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_verdant_04,아르보리아 오더 - 쏜 크라운,spell,common,verdant,2,세계수권속 아르보리아,arborian,normal
spell_v8_verdant_05,프라이멀 가디언 오더 - 스톤 하트,spell,rare,verdant,2,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_verdant_06,아르보리아 오더 - 루트 네트워크,spell,common,verdant,2,세계수권속 아르보리아,arborian,normal
spell_v8_verdant_07,프라이멀 가디언 오더 - 스카이 로어,spell,common,verdant,1,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_verdant_08,아르보리아 오더 - 대지의 숨결,spell,epic,verdant,5,세계수권속 아르보리아,arborian,normal
spell_v8_verdant_09,프라이멀 가디언 오더 - 테라 포스,spell,common,verdant,1,원초수호 프라이멀 가디언,primal_guardian,normal
spell_v8_verdant_10,아르보리아 오더 - 아르보리아 블룸,spell,rare,verdant,3,세계수권속 아르보리아,arborian,normal
spell_v8_void_01,녹턴 미라주 오더 - 실버 리커버리,spell,common,void,1,월영환상 녹턴 미라주,nocturne,normal
spell_v8_void_02,어비스 리퍼 오더 - 보이드 헝거,spell,rare,void,3,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_void_03,이클립시온 오더 - 에코 리턴,spell,common,void,1,일식공명 이클립시온,eclipsion,normal
spell_v8_void_04,녹턴 미라주 오더 - 팬텀 패스,spell,common,void,2,월영환상 녹턴 미라주,nocturne,normal
spell_v8_void_05,어비스 리퍼 오더 - 리퍼 리턴,spell,epic,void,4,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_void_06,이클립시온 오더 - 그레이브 튜닝,spell,common,void,2,일식공명 이클립시온,eclipsion,normal
spell_v8_void_07,녹턴 미라주 오더 - 루나 링크,spell,rare,void,2,월영환상 녹턴 미라주,nocturne,normal
spell_v8_void_08,어비스 리퍼 오더 - 블러드 링크,spell,epic,void,5,심연포식 어비스 리퍼,abyss_reaper,normal
spell_v8_void_09,이클립시온 오더 - 일식 동조,spell,common,void,1,일식공명 이클립시온,eclipsion,normal
spell_v8_void_10,녹턴 미라주 오더 - 미스트 커튼,spell,rare,void,3,월영환상 녹턴 미라주,nocturne,normal
spell_v8_neutral_01,루미나이츠 오더 - 브레이브 콜,spell,common,neutral,1,성휘전대 루미나이츠,luminaknights,normal
spell_v8_neutral_02,템페스트 드라이브 오더 - 오버드라이브,spell,epic,neutral,5,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_neutral_03,카이저기어 오더 - 오버클럭,spell,common,neutral,1,황제기갑 카이저기어,kaisergear,normal
spell_v8_neutral_04,루미나이츠 오더 - 라이트 크로스,spell,rare,neutral,3,성휘전대 루미나이츠,luminaknights,normal
spell_v8_neutral_05,템페스트 드라이브 오더 - 볼트 체인,spell,epic,neutral,4,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_neutral_06,카이저기어 오더 - 리액터 스타트,spell,common,neutral,2,황제기갑 카이저기어,kaisergear,normal
spell_v8_neutral_07,루미나이츠 오더 - 포메이션 체인지,spell,rare,neutral,2,성휘전대 루미나이츠,luminaknights,normal
spell_v8_neutral_08,템페스트 드라이브 오더 - 제로 투 맥스,spell,common,neutral,2,천뢰기동 템페스트 드라이브,tempest_drive,normal
spell_v8_neutral_09,카이저기어 오더 - 풀 아머 전개,spell,common,neutral,1,황제기갑 카이저기어,kaisergear,normal
spell_v8_neutral_10,루미나이츠 오더 - 라이징 배너,spell,rare,neutral,3,성휘전대 루미나이츠,luminaknights,normal
trap_v8_solar_01,이클립시온 리액터 - 리프트 리버설,trap,rare,solar,2,일식공명 이클립시온,eclipsion,normal
trap_v8_solar_02,루미나이츠 리액터 - 세이비어 콜,trap,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
trap_v8_solar_03,카이저기어 리액터 - 코어 락,trap,common,solar,2,황제기갑 카이저기어,kaisergear,normal
trap_v8_solar_04,이클립시온 리액터 - 에코 스네어,trap,rare,solar,2,일식공명 이클립시온,eclipsion,normal
trap_v8_solar_05,루미나이츠 리액터 - 리턴 오브 라이트,trap,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
trap_v8_solar_06,카이저기어 리액터 - 디코이 프레임,trap,rare,solar,2,황제기갑 카이저기어,kaisergear,normal
trap_v8_solar_07,이클립시온 리액터 - 블랙 아웃,trap,epic,solar,3,일식공명 이클립시온,eclipsion,normal
trap_v8_solar_08,루미나이츠 리액터 - 크로스 카운터,trap,common,solar,2,성휘전대 루미나이츠,luminaknights,normal
trap_v8_lunar_01,아르보리아 리액터 - 쏜 월,trap,rare,lunar,2,세계수권속 아르보리아,arborian,normal
trap_v8_lunar_02,녹턴 미라주 리액터 - 미러 트릭,trap,common,lunar,2,월영환상 녹턴 미라주,nocturne,normal
trap_v8_lunar_03,아르보리아 리액터 - 루트 바인드,trap,rare,lunar,2,세계수권속 아르보리아,arborian,normal
trap_v8_lunar_04,녹턴 미라주 리액터 - 드림 캐처,trap,epic,lunar,3,월영환상 녹턴 미라주,nocturne,normal
