trait,id,name
처형,unit_v8_void_07,녹턴 미라주 드림 댄서
처형,unit_v8_void_15,이클립시온 블랙 키메라
처형,unit_v8_lunar_11,녹턴 미라주 크레센트 팬텀
처형,v26_arcana_protocol_unit_20,아르카나 프로토콜 코덱스 소버린
처형,evolution_v8_04,녹턴 미라주 어센드 - 드림 이클립스
처형,unit_v8_lunar_03,녹턴 미라주 베일 팬텀
처형,evolution_v8_19,이클립시온 어센드 - 엔드 브링어
처형,evolution_v8_03,이클립시온 어센드 - 오메가 레조넌트
처형,unit_v8_lunar_19,녹턴 미라주 페이즈 팬텀
전체공격,v26_astral_armada_unit_21,아스트라 아르마다 아르마다 소버린
전체공격,v26_astral_armada_fusion_02,아스트라 아르마다 크로스 - 퀘이사 캐리어
전체공격,v26_astral_armada_unit_22,아스트라 아르마다 세레스티얼 타이탄
전체공격,v26_astral_armada_evolution_02,아스트라 아르마다 어센드 - 성해황제 오리온
전체공격,v26_astral_armada_fusion_01,아스트라 아르마다 크로스 - 네뷸라 드레드노트
전체공격,fusion_tempest_colossus,템페스트 드라이브 크로스 - 썬더 콜로서스
전체공격,fusion_v8_02,카이저기어 크로스 - 기가 카이저
전체공격,fusion_v8_18,카이저기어 크로스 - 임페리얼 타이탄
전체공격,v26_astral_armada_evolution_01,아스트라 아르마다 어센드 - 갤럭시 제독
전체공격,evolution_v8_06,템페스트 드라이브 어센드 - 제타 오버로드
전체공격,fusion_v8_01,루미나이츠 크로스 - 그랜드 솔
전체공격,v26_astral_armada_unit_19,아스트라 아르마다 오로라 플래그십
전체공격,unit_v8_storm_16,템페스트 드라이브 스톰 랜서
전체공격,fusion_v8_14,템페스트 드라이브 크로스 - 라이트닝 노바
전체공격,v26_astral_armada_unit_16,아스트라 아르마다 코스모스 제독
전체공격,v26_astral_armada_unit_13,아스트라 아르마다 네뷸라 캐리어
전체공격,evolution_v8_09,루미나이츠 어센드 - 오메가 레이
전체공격,unit_v8_storm_19,템페스트 드라이브 레일 랜서
전체공격,v26_chronorium_evolution_02,크로노리움 어센드 - 크로노스 오메가
전체공격,v26_beastforge_fusion_02,비스트포지 크로스 - 메탈 베히모스
전체공격,evolution_v8_18,카이저기어 어센드 - 그랜드 포트리스
전체공격,fusion_v8_10,카이저기어 크로스 - 오메가 프레임
전체공격,v26_astral_armada_unit_20,아스트라 아르마다 갤럭시 커맨더
전체공격,v26_astral_armada_unit_10,아스트라 아르마다 아스트라 캡틴
전체공격,fusion_v8_09,루미나이츠 크로스 - 하이퍼 노바
전체공격,unit_v8_storm_03,프라이멀 가디언 루인 비스트
전체공격,fusion_v8_08,프라이멀 가디언 크로스 - 프라이멀 킹
전체공격,fusion_v8_06,템페스트 드라이브 크로스 - 볼트 카이저
전체공격,v26_astral_armada_unit_18,아스트라 아르마다 성해 기사함
전체공격,v26_astral_armada_unit_17,아스트라 아르마다 펄서 드레드노트
전체공격,evolution_v8_01,루미나이츠 어센드 - 아크 브레이버
전체공격,evolution_v8_14,템페스트 드라이브 어센드 - 스톰 브레이커
전체공격,v26_beastforge_evolution_02,비스트포지 어센드 - 오메가 레비아탄
전체공격,v26_chronorium_unit_21,크로노리움 크로노스 레갈리아
전체공격,unit_v8_storm_10,템페스트 드라이브 볼트 랜서
전체공격,unit_v8_solar_14,카이저기어 알파 드라이버
전체공격,v26_beastforge_evolution_01,비스트포지 어센드 - 프레데터 카이저
전체공격,unit_v8_neutral_18,카이저기어 타이탄 프레임
전체공격,v26_beastforge_fusion_01,비스트포지 크로스 - 기갑 키메라
전체공격,unit_v8_storm_13,템페스트 드라이브 제타 랜서
전체공격,evolution_v8_10,카이저기어 어센드 - 크라운 드라이버
전체공격,unit_v8_solar_17,카이저기어 아이언 드라이버
전체공격,v26_beastforge_unit_20,비스트포지 타이탄 팽
전체공격,evolution_v8_02,카이저기어 어센드 - 아틀라스 기어
전체공격,unit_v8_neutral_13,루미나이츠 노바 세이버
전체공격,fusion_v8_13,아르보리아 크로스 - 가이아 드래곤
전체공격,evolution_ember_phoenix,루미나이츠 어센드 - 피닉스 브레이버
전체공격,v26_astral_armada_unit_14,아스트라 아르마다 퀘이사 포병
전체공격,unit_v8_neutral_02,템페스트 드라이브 볼트 라이더
전체공격,fusion_v8_16,프라이멀 가디언 크로스 - 토템 타이탄
